entry_date,exit_date,entry,exit,pnl,hold_days,type
2022-01-03,2022-01-07,1653.6221853189384,1650.0785845220921,-0.5881250737759977,4,Signal Exit
2022-01-10,2022-01-11,1650.5410545310028,1571.7876755572147,-10.431317725380426,1,Stop Loss
2022-01-17,2022-01-18,395.25589504196824,395.69718833026434,0.002387052498379864,1,Signal Exit
2022-01-20,2022-01-25,396.0405515371665,1312.8583129383449,58.89644095960288,5,Signal Exit
2022-01-27,2022-01-28,1310.872324204981,1313.6568176400156,0.06860586506762484,1,Signal Exit
2022-02-07,2022-02-10,1288.631560730126,1712.766396087576,29.246282237429643,3,Signal Exit
2022-02-22,2022-02-24,917.7657049265093,922.1930665136415,0.16554843990665075,2,Signal Exit
2022-03-01,2022-03-02,940.8787043434489,934.7123569696445,-0.43264230288167504,1,Signal Exit
2022-03-07,2022-03-08,950.1835953871382,945.7559323019653,-0.39349632454807504,1,Signal Exit
2022-03-09,2022-03-17,954.8691860479585,1898.5842103581704,78.58684402084154,8,Signal Exit
2022-03-21,2022-03-24,1884.3678668466262,1871.0757629030684,-0.8601291205031297,3,Signal Exit
2022-03-28,2022-03-29,1871.2434048526795,1700.6243834389925,-11.79249894305577,1,Stop Loss
2022-03-29,2022-04-13,1288.1903811298798,1248.1097618765964,-1.9806060506572813,15,Signal Exit
2022-04-18,2022-04-26,873.4007410180081,901.4068255948147,1.6488157922448072,8,Signal Exit
2022-05-09,2022-05-11,1218.8592358570047,1227.1094818134682,0.5720190940469374,2,Signal Exit
2022-05-12,2022-05-16,1237.0920049058395,1221.767012537245,-1.5594265408431829,4,Signal Exit
2022-05-17,2022-05-24,1219.0660083981816,1899.3794148083518,71.06556303323998,7,Signal Exit
2022-06-02,2022-06-07,1904.655149759791,1907.354255673029,0.06931704579959566,5,Signal Exit
2022-06-08,2022-06-09,1876.9613102607002,1754.6566141290562,-12.498934862949579,1,Stop Loss
2022-06-09,2022-06-23,1286.671405317251,1235.722595201982,-3.2213574390281154,14,Signal Exit
2022-06-27,2022-06-29,1241.6752252824233,1298.1043224191624,5.047067473704278,2,Signal Exit
2022-07-06,2022-07-07,1275.3333600869166,1273.247953736214,-0.3836773982695456,1,Signal Exit
2022-07-12,2022-07-14,1287.6767014210293,1289.4392235197433,0.06450651894276177,2,Signal Exit
2022-07-19,2022-07-21,1531.4521833417148,1523.522116095269,-1.0885645109985085,2,Signal Exit
2022-07-25,2022-08-04,1516.5464257615022,1417.558789985212,-12.376017608928962,10,Stop Loss
2022-08-04,2022-08-08,1175.2852428110793,1217.2884509604628,3.941948597821276,4,Signal Exit
2022-08-09,2022-08-10,1200.7531862170847,1204.4901824684985,0.2478618326595404,1,Signal Exit
2022-08-11,2022-08-16,1210.9750405548473,1193.6738106652467,-2.0076356432003513,5,Signal Exit
2022-08-17,2022-09-13,1232.834752640392,1771.9091874837854,63.648532244202435,27,Signal Exit
2022-09-20,2022-09-21,1796.2053358372289,1798.6487774665065,0.08217305363800409,1,Signal Exit
2022-09-28,2022-09-29,1788.185223874455,1761.9037478280266,-4.382428507142088,1,Signal Exit
2022-11-02,2022-11-03,1508.00868742505,1504.8896948042227,-0.5291505432861672,1,Signal Exit
2022-11-07,2022-11-08,1492.6301062055895,1495.8311273989134,0.21556764981468018,1,Signal Exit
2022-11-14,2022-11-15,1484.8639536995938,1491.3471669450657,0.7347803404855042,1,Signal Exit
2022-11-21,2022-11-22,1139.8757647108982,1141.8377078767085,0.08522877138380464,1,Signal Exit
2022-12-08,2022-12-12,1417.6624129213233,1416.63712720209,-0.24888417635916651,4,Signal Exit
2022-12-13,2022-12-14,1412.8467421163189,1411.473739392071,-0.3113812194872402,1,Signal Exit
2022-12-15,2022-12-19,1433.601558470863,1436.8467618136156,0.22208444570628819,4,Signal Exit
2022-12-20,2022-12-28,1416.6631509322265,1321.706894941916,-12.869078919369864,8,Stop Loss
2022-12-29,2023-01-04,411.1953382923673,398.05261057423206,-0.8182600422311394,6,Signal Exit
2023-01-10,2023-01-12,395.88529436628556,398.4477381285631,0.1816667609419278,2,Signal Exit
2023-01-19,2023-01-23,1387.6230570183404,1362.0213706224686,-1.3973831459820594,4,Signal Exit
2023-01-26,2023-02-01,1308.431828047847,1305.174387575423,-0.29211158913507573,6,Signal Exit
2023-02-14,2023-02-15,1810.6113009574256,1805.3102347909323,-0.4699066803616857,1,Signal Exit
2023-02-16,2023-02-22,1741.85378779528,1561.6651056397404,-12.565174514715956,6,Stop Loss
2023-02-22,2023-02-23,1597.1211343724692,1406.5220564289646,-12.467348380074958,1,Stop Loss
2023-02-23,2023-03-07,1141.5224910482477,1106.363381903819,-1.8322941300856963,12,Signal Exit
2023-03-13,2023-03-15,1102.79109670316,1565.0402690137414,40.56054258323962,2,Signal Exit
2023-03-16,2023-03-20,1574.903938424224,1574.3489523696614,-0.15610059624702755,4,Signal Exit
2023-03-21,2023-04-04,1573.055498466293,1818.5068856093485,20.280466415124664,14,Signal Exit
2023-04-19,2023-04-26,1776.6868125408475,1773.6842353499096,-0.6297091258216198,7,Signal Exit
2023-05-01,2023-05-02,1785.241602083562,1776.2524448966071,-1.834114687038764,1,Signal Exit
2023-05-10,2023-05-15,395.7529621462658,388.1566878847063,-0.4489384746655159,5,Signal Exit
2023-05-17,2023-05-18,394.913701888538,391.74626752664057,-0.26420871451809386,1,Signal Exit
2023-05-23,2023-05-24,387.0848472861317,1322.8340122972138,85.07537270789743,1,Signal Exit
2023-06-14,2023-06-20,1083.3722665859318,1082.4846119496337,-0.16809073634576693,6,Signal Exit
2023-06-21,2023-06-22,1066.2030981901592,1066.6518252702936,-0.06251127861749724,1,Signal Exit
2023-07-05,2023-07-06,1478.8191413931881,1481.4190738320772,0.09697583448853576,1,Signal Exit
2023-07-13,2023-07-17,1652.0476384712297,1625.3591313977918,-2.385151120594957,4,Signal Exit
2023-07-18,2023-07-20,1638.978499717494,1874.3162524496022,21.06901570311342,2,Signal Exit
2023-07-31,2023-08-01,1838.6725725179422,1844.4460168583357,0.38768386550655376,1,Signal Exit
2023-08-10,2023-08-14,1688.932740093183,1711.0353024719402,2.3605783159598253,4,Signal Exit
2023-08-23,2023-08-24,1734.8563430117456,1637.1118593839751,-14.208613838469574,1,Stop Loss
2023-08-24,2023-08-28,1594.0259791879394,1591.2629183149631,-0.5287826260577382,4,Signal Exit
2023-09-19,2023-10-02,1766.6986758417377,1651.3489673987522,-13.988518505620386,13,Stop Loss
2023-10-02,2023-10-05,978.141197593599,975.1429363880561,-0.2758582871138419,3,Signal Exit
2023-10-19,2023-11-06,426.51412116341567,1561.6821395496443,83.3617831388066,18,Signal Exit
2023-11-13,2023-11-15,1634.0224277266204,1589.816631202458,-3.0606234323822825,2,Signal Exit
2023-11-22,2023-11-28,1392.9966894187544,1385.1295478750624,-0.6868103859455481,6,Signal Exit
2023-11-29,2023-12-04,1384.1175523838958,1371.7518666877052,-1.2245565781502283,5,Signal Exit
2023-12-05,2023-12-06,1289.7504476598951,1291.383949245832,0.0328531143209569,1,Signal Exit
2023-12-07,2023-12-14,1278.7579183142534,1181.4238101112971,-10.250676702985578,7,Signal Exit
2023-12-21,2023-12-27,1211.6677477136302,1214.8577856535421,0.26884142355905305,6,Signal Exit
