"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2020","75.09","74.06","75.15","73.80","135.65M","2.28%"
"01/03/2020","74.36","74.29","75.14","74.13","146.54M","-0.97%"
"01/06/2020","74.95","73.45","74.99","73.19","118.58M","0.80%"
"01/07/2020","74.60","74.96","75.22","74.37","111.51M","-0.47%"
"01/08/2020","75.80","74.29","76.11","74.29","132.36M","1.61%"
"01/09/2020","77.41","76.81","77.61","76.55","170.49M","2.12%"
"01/10/2020","77.58","77.65","78.17","77.06","140.87M","0.23%"
"01/13/2020","79.24","77.91","79.27","77.79","122.09M","2.14%"
"01/14/2020","78.17","79.18","79.39","78.04","162.61M","-1.35%"
"01/15/2020","77.83","77.96","78.88","77.39","121.92M","-0.43%"
"01/16/2020","78.81","78.40","78.93","78.02","108.83M","1.25%"
"01/17/2020","79.68","79.07","79.68","78.75","137.82M","1.11%"
"01/21/2020","79.14","79.30","79.75","79.00","110.84M","-0.68%"
"01/22/2020","79.43","79.64","80.00","79.33","101.83M","0.36%"
"01/23/2020","79.81","79.48","79.89","78.91","104.47M","0.48%"
"01/24/2020","79.58","80.06","80.83","79.38","146.54M","-0.29%"
"01/27/2020","77.24","77.51","77.94","76.22","161.94M","-2.94%"
"01/28/2020","79.42","78.15","79.60","78.05","162.23M","2.83%"
"01/29/2020","81.08","81.11","81.96","80.35","216.60M","2.09%"
"01/30/2020","80.97","80.14","81.02","79.69","126.74M","-0.14%"
"01/31/2020","77.38","80.23","80.67","77.07","199.59M","-4.43%"
"02/03/2020","77.17","76.07","78.37","75.56","173.99M","-0.27%"
"02/04/2020","79.71","78.83","79.91","78.41","136.62M","3.30%"
"02/05/2020","80.36","80.88","81.19","79.74","118.83M","0.82%"
"02/06/2020","81.30","80.64","81.31","80.07","105.43M","1.17%"
"02/07/2020","80.01","80.59","80.85","79.50","117.68M","-1.59%"
"02/10/2020","80.39","78.54","80.39","78.46","109.35M","0.47%"
"02/11/2020","79.90","80.90","80.97","79.68","94.32M","-0.60%"
"02/12/2020","81.80","80.37","81.81","80.37","113.73M","2.37%"
"02/13/2020","81.22","81.05","81.56","80.84","94.75M","-0.71%"
"02/14/2020","81.24","81.18","81.50","80.71","80.11M","0.02%"
"02/18/2020","79.75","78.84","79.94","78.65","152.76M","-1.83%"
"02/19/2020","80.90","80.00","81.14","80.00","93.98M","1.45%"
"02/20/2020","80.07","80.66","81.16","79.55","100.57M","-1.03%"
"02/21/2020","78.26","79.65","80.11","77.63","129.71M","-2.26%"
"02/24/2020","74.54","74.32","76.04","72.31","222.20M","-4.75%"
"02/25/2020","72.02","75.24","75.63","71.53","230.67M","-3.39%"
"02/26/2020","73.16","71.63","74.47","71.63","198.71M","1.59%"
"02/27/2020","68.38","70.28","71.50","68.24","320.61M","-6.54%"
"02/28/2020","68.34","64.32","69.60","64.09","426.88M","-0.06%"
"03/02/2020","74.70","70.57","75.36","69.43","341.40M","9.31%"
"03/03/2020","72.33","75.92","76.00","71.45","319.48M","-3.18%"
"03/04/2020","75.68","74.11","75.85","73.28","219.18M","4.64%"
"03/05/2020","73.23","73.88","74.89","72.85","187.57M","-3.24%"
"03/06/2020","72.26","70.50","72.71","70.31","226.18M","-1.33%"
"03/09/2020","66.54","65.94","69.52","65.75","286.74M","-7.91%"
"03/10/2020","71.33","69.29","71.61","67.34","285.29M","7.20%"
"03/11/2020","68.86","69.35","70.31","67.96","256.38M","-3.47%"
"03/12/2020","62.06","63.99","67.50","62.00","418.47M","-9.88%"
"03/13/2020","69.49","66.22","69.98","63.24","370.73M","11.98%"
"03/16/2020","60.55","60.49","64.77","60.00","322.42M","-12.86%"
"03/17/2020","63.22","61.88","64.40","59.60","324.06M","4.40%"
"03/18/2020","61.67","59.94","62.50","59.28","300.23M","-2.45%"
"03/19/2020","61.19","61.85","63.21","60.65","271.86M","-0.77%"
"03/20/2020","57.31","61.79","62.96","57.00","401.69M","-6.35%"
"03/23/2020","56.09","57.02","57.12","53.15","336.75M","-2.12%"
"03/24/2020","61.72","59.09","61.92","58.58","287.53M","10.03%"
"03/25/2020","61.38","62.69","64.56","61.08","303.60M","-0.55%"
"03/26/2020","64.61","61.63","64.67","61.59","252.56M","5.26%"
"03/27/2020","61.94","63.19","63.97","61.76","204.22M","-4.14%"
"03/30/2020","63.70","62.69","63.88","62.35","167.98M","2.85%"
"03/31/2020","63.57","63.90","65.62","63.00","197.00M","-0.20%"
"04/01/2020","60.23","61.63","62.18","59.78","176.22M","-5.26%"
"04/02/2020","61.23","60.08","61.29","59.22","165.93M","1.67%"
"04/03/2020","60.35","60.70","61.42","59.74","129.88M","-1.44%"
"04/06/2020","65.62","62.72","65.78","62.35","201.82M","8.72%"
"04/07/2020","64.86","67.70","67.93","64.75","202.89M","-1.16%"
"04/08/2020","66.52","65.68","66.84","65.31","168.90M","2.56%"
