"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2020","1,552.40","1,531.70","1,556.60","1,530.40","436.74K","1.92%"
"01/03/2020","1,552.40","1,531.70","1,556.60","1,530.40","436.74K","0.00%"
"01/06/2020","1,568.80","1,562.70","1,590.90","1,562.30","558.97K","1.06%"
"01/07/2020","1,574.30","1,567.40","1,579.20","1,557.00","435.87K","0.35%"
"01/08/2020","1,560.20","1,578.80","1,613.30","1,553.40","813.41K","-0.90%"
"01/09/2020","1,554.30","1,557.70","1,562.40","1,541.00","372.88K","-0.38%"
"01/10/2020","1,560.10","1,553.40","1,564.10","1,546.70","344.34K","0.37%"
"01/13/2020","1,550.60","1,563.00","1,563.10","1,547.00","311.73K","-0.61%"
"01/14/2020","1,544.60","1,548.60","1,549.50","1,536.40","340.91K","-0.39%"
"01/15/2020","1,554.00","1,546.80","1,558.80","1,546.50","310.07K","0.61%"
"01/16/2020","1,550.50","1,556.60","1,558.20","1,548.00","260.05K","-0.23%"
"01/17/2020","1,560.30","1,553.00","1,561.40","1,549.30","264.93K","0.63%"
"01/20/2020","1,557.90","1,557.30","1,568.80","1,546.00","462.62K","-0.15%"
"01/21/2020","1,557.90","1,557.30","1,568.80","1,546.00","462.62K","0.00%"
"01/22/2020","1,556.70","1,558.90","1,559.80","1,550.00","286.08K","-0.08%"
"01/23/2020","1,565.40","1,558.90","1,567.50","1,551.30","361.03K","0.56%"
"01/24/2020","1,571.90","1,562.90","1,575.50","1,555.80","427.14K","0.42%"
"01/27/2020","1,577.40","1,580.50","1,588.40","1,575.30","398.06K","0.35%"
"01/28/2020","1,569.80","1,580.60","1,582.20","1,564.60","378.01K","-0.48%"
"01/29/2020","1,570.40","1,566.30","1,577.70","1,562.00","251.27K","0.04%"
"01/30/2020","1,586.50","1,578.70","1,587.80","1,574.20","4.08K","1.03%"
"01/31/2020","1,584.90","1,575.60","1,592.30","1,572.00","2.47K","-0.10%"
"02/03/2020","1,579.50","1,594.60","1,595.10","1,570.50","1.60K","-0.34%"
"02/04/2020","1,552.70","1,579.50","1,580.70","1,550.00","1.88K","-1.70%"
"02/05/2020","1,560.10","1,553.20","1,563.20","1,548.40","1.52K","0.48%"
"02/06/2020","1,567.20","1,556.80","1,568.90","1,553.50","1.48K","0.46%"
"02/07/2020","1,570.60","1,567.60","1,574.60","1,560.70","1.01K","0.22%"
"02/10/2020","1,576.60","1,573.00","1,577.30","1,569.10","0.46K","0.38%"
"02/11/2020","1,567.20","1,573.00","1,574.50","1,562.60","0.86K","-0.60%"
"02/12/2020","1,568.80","1,567.90","1,570.30","1,561.60","0.83K","0.10%"
"02/13/2020","1,576.30","1,566.80","1,578.80","1,566.60","1.30K","0.48%"
"02/14/2020","1,583.80","1,577.50","1,585.30","1,573.60","0.69K","0.48%"
"02/17/2020","1,603.60","1,585.10","1,608.20","1,581.80","414.24K","1.25%"
"02/18/2020","1,601.00","1,581.20","1,605.30","1,579.20","2.68K","-0.16%"
"02/19/2020","1,608.80","1,601.80","1,612.90","1,600.00","2.21K","0.49%"
"02/20/2020","1,617.40","1,610.90","1,622.80","1,603.80","2.79K","0.53%"
"02/21/2020","1,645.10","1,620.40","1,648.10","1,618.60","2.32K","1.71%"
"02/24/2020","1,673.50","1,651.00","1,687.30","1,651.00","2.81K","1.73%"
"02/25/2020","1,647.00","1,662.00","1,662.30","1,625.00","2.65K","-1.58%"
"02/26/2020","1,640.40","1,636.40","1,652.40","1,624.40","1.99K","-0.40%"
"02/27/2020","1,642.50","1,643.00","1,662.50","1,636.70","573.29K","0.13%"
"02/28/2020","1,566.70","1,646.10","1,651.00","1,564.00","745.84K","-4.61%"
"03/02/2020","1,594.80","1,592.80","1,612.10","1,576.30","443.53K","1.79%"
"03/03/2020","1,644.40","1,586.00","1,650.50","1,585.90","466.53K","3.11%"
"03/04/2020","1,643.00","1,640.10","1,654.30","1,632.60","313.34K","-0.09%"
"03/05/2020","1,668.00","1,638.20","1,675.50","1,635.60","363.00K","1.52%"
"03/06/2020","1,672.40","1,673.10","1,692.80","1,642.40","659.63K","0.26%"
"03/09/2020","1,675.70","1,692.60","1,704.30","1,658.00","504.16K","0.20%"
"03/10/2020","1,660.30","1,679.60","1,681.30","1,641.10","385.48K","-0.92%"
"03/11/2020","1,642.30","1,649.30","1,671.80","1,632.40","404.35K","-1.08%"
"03/12/2020","1,590.30","1,633.10","1,651.00","1,560.40","605.72K","-3.17%"
"03/13/2020","1,516.70","1,582.70","1,597.90","1,504.00","551.05K","-4.63%"
"03/16/2020","1,486.50","1,563.80","1,574.80","1,450.90","565.98K","-1.99%"
"03/17/2020","1,525.80","1,512.80","1,554.30","1,465.60","434.51K","2.64%"
"03/18/2020","1,477.90","1,527.60","1,547.00","1,473.30","435.19K","-3.14%"
"03/19/2020","1,479.30","1,487.20","1,502.80","1,460.10","325.29K","0.09%"
"03/20/2020","1,484.60","1,471.60","1,519.40","1,457.50","269.97K","0.36%"
"03/23/2020","1,567.60","1,505.00","1,569.30","1,484.60","362.07K","5.59%"
"03/24/2020","1,660.80","1,563.80","1,698.00","1,560.50","418.78K","5.95%"
"03/25/2020","1,633.40","1,666.20","1,699.30","1,615.20","254.19K","-1.65%"
"03/26/2020","1,651.20","1,642.50","1,672.50","1,611.00","215.97K","1.09%"
"03/27/2020","1,625.00","1,640.40","1,647.20","1,611.40","100.64K","-1.59%"
"03/30/2020","1,637.10","1,653.70","1,667.40","1,623.40","3.08K","0.74%"
"03/31/2020","1,589.30","1,634.60","1,634.60","1,582.80","0.97K","-2.92%"
"04/01/2020","1,584.10","1,581.70","1,605.00","1,574.80","0.35K","-0.33%"
"04/02/2020","1,630.70","1,599.00","1,635.80","1,590.50","0.44K","2.94%"
"04/03/2020","1,637.60","1,629.70","1,642.00","1,616.50","0.51K","0.42%"
"04/06/2020","1,684.00","1,639.70","1,705.50","1,628.10","1.47K","2.83%"
"04/07/2020","1,672.60","1,694.80","1,731.80","1,662.00","2.14K","-0.68%"
"04/08/2020","1,674.10","1,669.80","1,685.00","1,660.80","1.29K","0.09%"
"04/09/2020","1,739.90","1,669.20","1,739.70","1,666.50","1.88K","3.93%"
"04/13/2020","1,749.80","1,729.50","1,760.60","1,711.80","1.61K","0.57%"
"04/14/2020","1,759.10","1,752.70","1,778.20","1,737.70","1.16K","0.53%"
"04/15/2020","1,729.60","1,746.60","1,747.70","1,722.40","1.08K","-1.68%"
"04/16/2020","1,722.70","1,732.20","1,756.40","1,718.00","1.02K","-0.40%"
"04/17/2020","1,690.80","1,722.90","1,725.70","1,683.50","1.83K","-1.85%"
"04/20/2020","1,703.40","1,685.00","1,710.00","1,677.60","0.62K","0.75%"
"04/21/2020","1,678.30","1,703.60","1,709.90","1,659.20","1.66K","-1.47%"
"04/22/2020","1,727.40","1,698.60","1,730.40","1,690.10","1.65K","2.93%"
"04/23/2020","1,733.40","1,725.60","1,750.00","1,721.20","1.70K","0.35%"
"04/24/2020","1,724.20","1,733.70","1,746.60","1,715.00","0.90K","-0.53%"
"04/27/2020","1,712.60","1,734.30","1,734.30","1,708.30","0.74K","-0.67%"
"04/28/2020","1,710.60","1,713.50","1,720.70","1,694.90","1.26K","-0.12%"
"04/29/2020","1,713.40","1,724.80","1,733.50","1,708.20","159.60K","0.16%"
"04/30/2020","1,694.20","1,729.60","1,737.00","1,687.50","234.53K","-1.12%"
"05/01/2020","1,700.90","1,693.50","1,714.40","1,676.00","168.02K","0.40%"
"05/04/2020","1,713.30","1,711.20","1,726.00","1,700.30","148.73K","0.73%"
"05/05/2020","1,710.60","1,711.00","1,717.80","1,695.40","184.73K","-0.16%"
"05/06/2020","1,688.50","1,714.10","1,716.60","1,683.00","203.37K","-1.29%"
"05/07/2020","1,725.80","1,686.00","1,733.20","1,683.90","250.70K","2.21%"
"05/08/2020","1,713.90","1,727.20","1,735.50","1,703.10","232.81K","-0.69%"
"05/11/2020","1,698.00","1,706.00","1,713.80","1,692.10","202.17K","-0.93%"
"05/12/2020","1,706.80","1,700.00","1,716.70","1,693.50","198.07K","0.52%"
"05/13/2020","1,716.40","1,705.00","1,726.50","1,701.60","211.61K","0.56%"
"05/14/2020","1,740.90","1,723.10","1,746.50","1,716.00","212.91K","1.43%"
"05/15/2020","1,756.30","1,738.50","1,761.20","1,736.80","200.18K","0.88%"
"05/18/2020","1,734.40","1,757.50","1,775.80","1,729.30","271.47K","-1.25%"
"05/19/2020","1,745.60","1,734.80","1,751.60","1,727.20","185.26K","0.65%"
"05/20/2020","1,752.10","1,749.20","1,757.60","1,744.00","184.46K","0.37%"
"05/21/2020","1,721.90","1,751.70","1,751.70","1,715.30","238.74K","-1.72%"
"05/22/2020","1,735.50","1,726.00","1,742.00","1,722.50","196.82K","0.79%"
"05/25/2020","1,705.60","1,734.80","1,737.20","1,700.00","313.17K","-1.72%"
"05/26/2020","1,705.60","1,730.20","1,737.20","1,700.00","313.17K","0.00%"
"05/27/2020","1,710.70","1,703.10","1,713.20","1,684.20","137.42K","0.30%"
"05/28/2020","1,719.80","1,718.70","1,734.50","1,714.00","1.56K","0.53%"
"05/29/2020","1,742.90","1,724.90","1,745.00","1,718.60","1.19K","1.34%"
"06/01/2020","1,743.30","1,743.00","1,752.70","1,730.50","0.71K","0.02%"
"06/02/2020","1,728.90","1,743.50","1,750.00","1,724.10","0.69K","-0.83%"
"06/03/2020","1,701.00","1,729.70","1,729.80","1,686.90","1.72K","-1.61%"
"06/04/2020","1,721.80","1,699.60","1,722.60","1,695.50","1.10K","1.22%"
"06/05/2020","1,678.50","1,715.00","1,717.20","1,669.10","1.10K","-2.51%"
"06/08/2020","1,699.90","1,682.00","1,702.60","1,675.80","0.75K","1.27%"
"06/09/2020","1,717.00","1,699.20","1,724.10","1,694.40","0.62K","1.01%"
"06/10/2020","1,715.50","1,715.10","1,743.60","1,709.00","1.15K","-0.09%"
"06/11/2020","1,734.70","1,741.20","1,749.40","1,722.60","0.76K","1.12%"
"06/12/2020","1,732.00","1,729.70","1,746.90","1,724.10","0.59K","-0.16%"
"06/15/2020","1,721.80","1,733.20","1,736.20","1,701.00","0.65K","-0.59%"
"06/16/2020","1,731.50","1,729.00","1,735.50","1,718.90","0.37K","0.56%"
"06/17/2020","1,730.30","1,730.60","1,733.80","1,714.40","0.36K","-0.07%"
"06/18/2020","1,726.00","1,730.70","1,742.10","1,717.60","0.26K","-0.25%"
"06/19/2020","1,747.10","1,726.30","1,753.50","1,726.30","1.87K","1.22%"
"06/22/2020","1,758.40","1,755.50","1,771.00","1,747.40","1.91K","0.65%"
"06/23/2020","1,774.10","1,759.30","1,777.60","1,751.70","1.03K","0.89%"
"06/24/2020","1,768.10","1,777.30","1,786.30","1,765.00","1.71K","-0.34%"
"06/25/2020","1,763.10","1,760.70","1,771.70","1,760.40","0.48K","-0.28%"
"06/26/2020","1,773.30","1,768.20","1,778.50","1,748.40","0.64K","0.58%"
"06/29/2020","1,781.20","1,789.20","1,790.40","1,776.50","130.51K","0.45%"
"06/30/2020","1,800.50","1,784.20","1,804.00","1,774.80","199.42K","1.08%"
"07/01/2020","1,779.90","1,798.90","1,807.70","1,767.90","263.25K","-1.14%"
"07/02/2020","1,790.00","1,779.00","1,791.70","1,766.30","186.31K","0.57%"
"07/03/2020","1,793.50","1,787.90","1,799.00","1,779.20","184.65K","0.20%"
"07/06/2020","1,793.50","1,787.90","1,799.00","1,779.20","184.65K","0.00%"
"07/07/2020","1,809.90","1,793.90","1,810.80","1,781.20","221.73K","0.91%"
"07/08/2020","1,820.60","1,807.90","1,829.80","1,803.80","247.50K","0.59%"
"07/09/2020","1,803.80","1,818.80","1,825.50","1,799.60","283.37K","-0.92%"
"07/10/2020","1,801.90","1,808.40","1,817.00","1,796.50","223.83K","-0.11%"
"07/13/2020","1,814.10","1,803.40","1,818.80","1,802.10","230.40K","0.68%"
"07/14/2020","1,813.40","1,805.20","1,815.00","1,791.10","253.21K","-0.04%"
"07/15/2020","1,813.80","1,811.10","1,819.50","1,804.00","183.06K","0.02%"
"07/16/2020","1,800.30","1,813.10","1,816.20","1,794.10","196.57K","-0.74%"
"07/17/2020","1,810.00","1,796.90","1,813.90","1,795.20","167.01K","0.54%"
"07/20/2020","1,817.40","1,812.30","1,823.40","1,806.60","177.74K","0.41%"
"07/21/2020","1,843.90","1,819.60","1,844.90","1,817.20","271.09K","1.46%"
"07/22/2020","1,865.10","1,842.80","1,871.80","1,842.10","382.23K","1.15%"
"07/23/2020","1,890.00","1,871.60","1,897.70","1,863.10","418.75K","1.34%"
"07/24/2020","1,897.50","1,884.90","1,904.60","1,880.50","300.17K","0.40%"
"07/27/2020","1,931.00","1,901.20","1,941.90","1,899.00","428.23K","1.77%"
"07/28/2020","1,944.60","1,937.10","1,974.70","1,900.20","434.45K","0.70%"
"07/29/2020","1,953.40","1,950.60","1,974.90","1,935.20","209.84K","0.45%"
"07/30/2020","1,949.50","1,970.80","1,971.10","1,936.40","5.71K","-0.20%"
"07/31/2020","1,968.00","1,957.00","1,985.70","1,954.30","5.17K","0.95%"
"08/03/2020","1,969.50","1,979.70","1,992.10","1,958.50","2.82K","0.08%"
"08/04/2020","2,004.20","1,976.60","2,020.50","1,968.10","3.91K","1.76%"
"08/05/2020","2,032.90","2,020.20","2,053.50","2,011.20","4.75K","1.43%"
"08/06/2020","2,054.60","2,036.90","2,065.10","2,033.60","2.61K","1.07%"
"08/07/2020","2,014.30","2,062.40","2,074.00","2,011.00","4.37K","-1.96%"
"08/10/2020","2,027.30","2,032.00","2,047.30","2,015.70","2.55K","0.65%"
"08/11/2020","1,935.70","2,024.20","2,027.00","1,900.90","6.16K","-4.52%"
"08/12/2020","1,937.50","1,910.20","1,948.70","1,863.70","4.16K","0.09%"
"08/13/2020","1,959.30","1,918.60","1,963.50","1,911.70","2.50K","1.13%"
"08/14/2020","1,938.80","1,952.10","1,958.30","1,930.20","1.26K","-1.05%"
"08/17/2020","1,987.10","1,945.20","1,988.60","1,930.80","1.77K","2.49%"
"08/18/2020","2,001.60","1,981.60","2,013.00","1,973.60","1.70K","0.73%"
"08/19/2020","1,960.50","2,001.50","2,003.00","1,920.80","2.83K","-2.05%"
"08/20/2020","1,935.40","1,924.60","1,951.50","1,920.00","2.07K","-1.28%"
"08/21/2020","1,936.00","1,945.80","1,950.40","1,908.20","1.73K","0.03%"
"08/24/2020","1,928.60","1,937.20","1,959.20","1,920.10","1.41K","-0.38%"
"08/25/2020","1,912.50","1,925.40","1,932.90","1,909.40","1.66K","-0.83%"
"08/26/2020","1,941.70","1,927.60","1,952.60","1,899.10","3.29K","1.53%"
"08/27/2020","1,922.30","1,950.90","1,973.80","1,907.70","2.30K","-1.00%"
"08/28/2020","1,966.80","1,930.10","1,974.90","1,921.20","11.76K","2.31%"
"08/31/2020","1,970.50","1,966.70","1,977.70","1,955.00","7.16K","0.19%"
"09/01/2020","1,970.80","1,965.90","1,992.50","1,961.20","10.95K","0.02%"
"09/02/2020","1,936.90","1,967.90","1,972.40","1,931.50","10.84K","-1.72%"
"09/03/2020","1,930.20","1,941.80","1,948.40","1,919.70","8.94K","-0.35%"
"09/04/2020","1,926.20","1,931.90","1,948.80","1,914.60","10.62K","-0.21%"
"09/07/2020","1,943.20","1,938.00","1,948.30","1,911.70","416.01K","0.88%"
"09/08/2020","1,935.10","1,930.00","1,940.20","1,904.60","15.62K","-0.42%"
"09/09/2020","1,946.80","1,932.00","1,951.40","1,918.80","8.35K","0.60%"
"09/10/2020","1,956.00","1,947.50","1,966.60","1,940.40","11.35K","0.47%"
"09/11/2020","1,939.50","1,945.00","1,954.60","1,936.20","8.09K","-0.84%"
"09/14/2020","1,954.70","1,940.30","1,963.60","1,937.00","6.70K","0.78%"
"09/15/2020","1,958.00","1,957.60","1,973.80","1,947.70","18.10K","0.17%"
"09/16/2020","1,962.00","1,954.30","1,975.40","1,949.10","11.67K","0.20%"
"09/17/2020","1,941.30","1,959.60","1,960.50","1,930.20","12.10K","-1.06%"
"09/18/2020","1,953.20","1,944.00","1,959.10","1,942.90","6.45K","0.61%"
"09/21/2020","1,902.10","1,948.30","1,954.10","1,878.50","18.21K","-2.62%"
"09/22/2020","1,899.30","1,909.10","1,916.80","1,890.70","11.15K","-0.15%"
"09/23/2020","1,860.50","1,895.00","1,901.60","1,848.00","18.93K","-2.04%"
"09/24/2020","1,868.90","1,859.40","1,872.80","1,843.00","19.91K","0.45%"
"09/25/2020","1,857.80","1,866.20","1,870.60","1,846.00","10.59K","-0.59%"
"09/28/2020","1,872.80","1,855.60","1,878.40","1,843.20","10.46K","0.81%"
"09/29/2020","1,898.70","1,881.20","1,899.90","1,877.60","0.53K","1.38%"
"09/30/2020","1,891.30","1,898.90","1,903.60","1,882.10","0.55K","-0.39%"
