"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2008","6.96","7.12","7.15","6.88","1.08B","-1.64%"
"01/03/2008","6.96","6.98","7.05","6.88","842.07M","0.00%"
"01/04/2008","6.43","6.84","6.89","6.39","1.46B","-7.63%"
"01/07/2008","6.34","6.47","6.56","6.08","2.07B","-1.34%"
"01/08/2008","6.12","6.43","6.52","6.10","1.52B","-3.60%"
"01/09/2008","6.41","6.12","6.41","6.01","1.82B","4.76%"
"01/10/2008","6.36","6.34","6.46","6.26","1.48B","-0.77%"
"01/11/2008","6.17","6.29","6.35","6.07","1.23B","-2.99%"
"01/14/2008","6.38","6.34","6.41","6.26","1.10B","3.53%"
"01/15/2008","6.04","6.35","6.40","5.88","2.35B","-5.45%"
"01/16/2008","5.70","5.90","6.04","5.60","2.22B","-5.56%"
"01/17/2008","5.75","5.77","5.91","5.66","1.76B","0.78%"
"01/18/2008","5.76","5.78","5.92","5.70","1.72B","0.29%"
"01/22/2008","5.56","5.29","5.71","5.21","2.43B","-3.54%"
"01/23/2008","4.97","4.86","5.00","4.50","3.37B","-10.65%"
"01/24/2008","4.84","5.00","5.02","4.71","2.01B","-2.50%"
"01/25/2008","4.64","4.96","4.97","4.63","1.55B","-4.12%"
"01/28/2008","4.64","4.58","4.76","4.52","1.47B","0.00%"
"01/29/2008","4.70","4.68","4.74","4.61","1.10B","1.18%"
"01/30/2008","4.72","4.69","4.84","4.64","1.24B","0.49%"
"01/31/2008","4.83","4.62","4.88","4.62","1.35B","2.41%"
"02/01/2008","4.78","4.87","4.88","4.72","1.01B","-1.19%"
"02/04/2008","4.70","4.79","4.85","4.69","899.23M","-1.57%"
"02/05/2008","4.62","4.66","4.79","4.60","1.14B","-1.74%"
"02/06/2008","4.36","4.67","4.71","4.35","1.57B","-5.69%"
"02/07/2008","4.33","4.28","4.46","4.19","2.08B","-0.62%"
"02/08/2008","4.48","4.36","4.49","4.34","1.36B","3.50%"
"02/11/2008","4.62","4.57","4.64","4.54","1.20B","3.16%"
"02/12/2008","4.46","4.67","4.68","4.41","1.23B","-3.55%"
"02/13/2008","4.62","4.52","4.63","4.49","968.53M","3.64%"
"02/14/2008","4.55","4.62","4.67","4.54","954.26M","-1.50%"
"02/15/2008","4.45","4.51","4.54","4.43","901.30M","-2.22%"
"02/19/2008","4.36","4.50","4.53","4.34","1.01B","-1.97%"
"02/20/2008","4.42","4.36","4.45","4.35","967.44M","1.34%"
"02/21/2008","4.34","4.50","4.52","4.32","938.12M","-1.84%"
"02/22/2008","4.27","4.37","4.38","4.14","1.53B","-1.71%"
"02/25/2008","4.28","4.24","4.29","4.17","1.26B","0.23%"
"02/26/2008","4.26","4.20","4.32","4.12","1.50B","-0.49%"
"02/27/2008","4.39","4.22","4.39","4.22","1.48B","3.20%"
"02/28/2008","4.64","4.54","4.72","4.49","1.62B","5.65%"
"02/29/2008","4.46","4.62","4.65","4.46","1.26B","-3.76%"
"03/03/2008","4.35","4.44","4.50","4.21","1.59B","-2.63%"
"03/04/2008","4.45","4.36","4.46","4.30","1.79B","2.37%"
"03/05/2008","4.45","4.41","4.47","4.37","1.22B","0.00%"
"03/06/2008","4.32","4.45","4.55","4.31","1.47B","-2.86%"
"03/07/2008","4.37","4.30","4.39","4.25","1.23B","1.09%"
"03/10/2008","4.27","4.36","4.41","4.26","1.00B","-2.09%"
