Date,daily_return
2020-01-02,-0.0005251902627064737
2020-01-03,0.000615728954090605
2020-01-06,-0.0002650544955349324
2020-01-07,0.10530804069781456
2020-01-08,-0.0005406603986122596
2020-01-09,1.3976894869966868e-05
2020-01-10,-0.0005470303811771133
2020-01-13,0.00030071617219763454
2020-01-14,-0.0005151478944765428
2020-01-15,-0.0005568295379504557
2020-01-16,-0.00010500458582459474
2020-01-17,-0.000554785792433444
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,-0.0005118253313560586
2020-01-27,-0.0005671108794128824
2020-01-28,-0.0005140053787867779
2020-01-29,-0.0005141497782678802
2020-01-30,0.0
2020-01-31,0.0
2020-02-03,-0.0005181280835180694
2020-02-04,0.056480930125298034
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,-0.0005108638115686814
2020-02-20,-6.164667709905849e-05
2020-02-21,0.00029395828201888484
2020-02-24,3.2977277306213724e-05
2020-02-25,-0.0002437657964615374
2020-02-26,-0.0005157458049879839
2020-02-27,-0.0004870720983065747
2020-02-28,-0.0005184632896531626
2020-03-02,0.0002412724121562719
2020-03-03,0.05553080888362231
2020-03-04,-0.001501815764971439
2020-03-05,0.0
2020-03-06,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,-0.0005409212911425118
2020-03-23,8.898561624320713e-05
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,-0.0005129385628633233
2020-04-20,-0.0005079553009516429
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,-0.000518267803985009
2020-04-27,-0.000813030743785792
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,-0.000552094857584091
2020-05-14,0.00011760603298448171
2020-05-15,-0.0005591413600686075
2020-05-18,-0.0017048407941469956
2020-05-19,-0.00014721289481269155
2020-05-20,-0.0003221615733807035
2020-05-21,-0.0012743085831901258
2020-05-22,0.0013601170587143043
2020-05-25,0.00044952313143410233
2020-05-26,-0.00038363217507599083
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-29,-0.0005123117684580658
2020-06-30,-0.0005219825616880114
2020-07-01,-0.000513668514252291
2020-07-02,-0.00029361147454645036
2020-07-03,0.0
2020-07-06,0.0
2020-07-07,-0.0005183204495515325
2020-07-08,0.033713179506392715
2020-07-09,0.000967381910535209
2020-07-10,-0.0005312724347485188
2020-07-13,-0.0005489633844984325
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,-0.0005427061072887573
2020-07-23,0.0007109700696984935
2020-07-24,0.0006615764051238704
2020-07-27,-0.00041552671502149166
2020-07-28,-0.0002810374245793134
2020-07-29,-0.0004429178964244132
2020-07-30,-0.00045682265326731016
2020-07-31,0.0
2020-08-03,-0.000570460069682397
2020-08-04,-0.000835259868457576
2020-08-05,0.0
2020-08-06,-0.0005561559045585727
2020-08-07,0.0018377684143034364
2020-08-10,-3.673609564871979e-05
2020-08-11,0.0021742294028515934
2020-08-12,0.0008929613651294278
2020-08-13,0.0
2020-08-14,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,-0.0005442695481886509
2020-09-03,-0.0002923415352928213
2020-09-04,0.0
2020-09-07,-0.0005533971231283522
2020-09-08,7.391805421377186e-05
2020-09-09,0.0015905221679239426
2020-09-10,-0.0002572395713089521
2020-09-11,-0.0007633921549173126
2020-09-14,-0.0005681358217931797
2020-09-15,-0.00015228557671796933
2020-09-16,-0.0005494452118061295
2020-09-17,-0.00016834607663050288
2020-09-18,0.00017391744652852062
2020-09-21,-0.0005130780440963735
2020-09-22,-0.0004024714863641881
2020-09-23,2.8327303750098893e-06
2020-09-24,0.0
2020-09-25,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,-0.0005340707751012093
2020-11-12,-0.000421434242794214
2020-11-13,0.0
2020-11-16,-0.0005397137607200241
2020-11-17,-0.0014119261445195057
2020-11-18,-0.0005996907095043025
2020-11-19,0.0
2020-11-20,-0.0005468096830861422
2020-11-23,-0.0009183065140434608
2020-11-24,-0.0012997325102428728
2020-11-25,0.033798479230873056
2020-11-26,0.0003477403283296133
2020-11-27,-0.0015026857022084113
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,-0.0005736914332591608
2020-12-07,-0.00032263279686073007
2020-12-08,-0.0005830865485382469
2020-12-09,0.0786906577479718
2020-12-10,-0.0009466388152045351
2020-12-11,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,-0.0005793981109562427
2020-12-17,-0.00019349745108763694
2020-12-18,-0.000996483841049717
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,-0.0005206331316054051
2020-12-24,-0.00045532799302905184
2020-12-28,-0.0005231205981609364
2020-12-29,-0.0005319615801882202
2020-12-30,0.00035764178145888226
2020-12-31,0.0
2021-01-04,0.0
2021-01-05,-0.0005327917298582093
2021-01-06,-6.425160794631836e-05
2021-01-07,0.0
2021-01-08,-0.0005126976080515746
2021-01-11,-0.0005779298927090982
2021-01-12,-0.000514187805780126
2021-01-13,-0.00013975175192886121
2021-01-14,-0.0003856813955731515
2021-01-15,-0.0005177405025512113
2021-01-18,0.00027691002642937383
2021-01-19,-0.0001870179335309685
2021-01-20,-4.6903851703391564e-05
2021-01-21,7.780094790272796e-06
2021-01-22,0.01955327183255046
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,0.0
2021-02-01,0.0
2021-02-02,0.0
