entry_date,exit_date,entry,exit,pnl,hold_days,type
2022-01-06,2022-01-07,3.3795998542171275,2.7719029970243487,-0.9219612527094742,1,Signal Exit
2022-01-11,2022-01-12,3.3964459570201413,2.894042166770851,-0.9464889020374019,1,Signal Exit
2022-01-19,2022-01-27,132.94988131194822,134.41920485201626,0.5870133391753752,8,Signal Exit
2022-01-31,2022-02-03,12.900011349863965,10.152528950747097,-0.8668805238837457,3,Signal Exit
2022-02-04,2022-02-16,12.543761830983497,154.32105902484003,59.61060891438842,12,Signal Exit
2022-02-17,2022-02-18,156.5929319086952,155.91898596250886,-0.30177839251182453,1,Signal Exit
2022-02-22,2022-02-28,160.73017607251657,132.88911059686197,-11.393863960940541,6,Stop Loss
2022-03-02,2022-03-04,46.64481201742394,43.22251929558642,-1.1233813495480625,2,Signal Exit
2022-03-07,2022-03-14,45.80681064364866,18.562316907130533,-10.94067566624773,7,Stop Loss
2022-03-14,2022-03-15,4.539126724613336,2.3031382145164185,-0.9750389583734463,1,Signal Exit
2022-03-16,2022-03-18,4.4444611452640155,2.456376778078776,-0.9943733187231525,2,Signal Exit
2022-03-21,2022-03-22,4.1536742920803045,2.572525114755711,-0.9855666363114232,1,Signal Exit
2022-03-28,2022-04-11,77.98917829508633,55.161711499019844,-10.739595215236,14,Stop Loss
2022-04-21,2022-04-25,49.11495597635245,47.94095048823126,-1.1412349675034743,4,Signal Exit
2022-04-26,2022-04-27,1.202071613196591,-0.3163930590642754,-0.9769613114211981,1,Signal Exit
2022-04-28,2022-05-23,1.0837293117865199,142.04412493190867,104.96217961128524,25,Signal Exit
2022-05-31,2022-06-01,88.39601412589298,88.48779529328527,0.0018439408533920398,1,Signal Exit
2022-06-02,2022-06-06,92.60663102710342,90.19454824259999,-1.5286269482488322,4,Signal Exit
2022-06-07,2022-06-08,88.95428365652394,71.91296628364864,-12.214657161862897,1,Stop Loss
2022-06-08,2022-06-09,7.362041984907653,4.8271661993667125,-1.0814369978278378,1,Signal Exit
2022-06-15,2022-06-17,6.932916571405807,5.11010796464476,-1.1102827652625495,2,Signal Exit
2022-06-24,2022-06-28,28.009072192274168,26.19760440134926,-1.3765382044483017,4,Signal Exit
2022-07-05,2022-07-06,27.16777927852469,26.723634641953716,-0.5312014713657972,1,Signal Exit
2022-07-07,2022-07-08,27.24140655814116,18.15955063348456,-11.691160877416426,1,Stop Loss
2022-07-08,2022-07-11,17.22142747192242,16.509678421308276,-0.8470873380997402,3,Signal Exit
2022-07-15,2022-07-22,16.999083997231715,9.883333098149915,-11.452334201696013,7,Stop Loss
2022-07-22,2022-07-25,6.6385595748908095,6.176167100323788,-0.8147272382944546,3,Signal Exit
2022-07-26,2022-07-27,6.656720297963812,6.197600100677778,-0.9209923373132777,1,Signal Exit
2022-07-28,2022-08-02,6.504159512945921,6.152149640362022,-0.8112056258860602,5,Signal Exit
2022-08-04,2022-08-05,6.2434124450250295,20.88598903172184,46.056518120562956,1,Signal Exit
2022-08-09,2022-08-11,22.050366858956433,21.68693437280359,-0.917402006646327,2,Signal Exit
2022-08-12,2022-08-19,21.933680346896253,162.56233933085193,400.66930768720704,7,Signal Exit
2022-09-14,2022-09-22,45.454695040153965,34.469346792061735,-8.305366225643981,8,Signal Exit
2022-09-23,2022-10-03,35.667242219706395,47.115828976361044,13.082912199029833,10,Signal Exit
2022-10-11,2022-10-13,48.92493913672987,47.22653401430381,-3.710398584948849,2,Signal Exit
2022-10-14,2022-10-17,47.88182458454415,41.17418615160788,-16.82099703110379,3,Stop Loss
2022-10-17,2022-10-18,6.693851459777236,5.867134160418493,-1.0938094008969057,1,Signal Exit
2022-10-19,2022-10-21,6.858612346177208,5.942472586958271,-1.3779061945974698,2,Signal Exit
2022-10-24,2022-10-26,6.4574947707362345,5.390562114899562,-1.9651515885947426,2,Signal Exit
2022-10-27,2022-10-31,6.08771643579461,32.09608264200056,58.34332189103686,4,Signal Exit
2022-11-15,2022-11-16,0.9639990007808886,0.11724750231794985,-1.4905563005201277,1,Signal Exit
2022-11-18,2022-11-21,0.9261015313904017,0.2391387933106456,-1.505861843621862,3,Signal Exit
2022-11-22,2022-11-25,0.8766114811378448,0.30424127593424033,-1.4532573459449412,3,Signal Exit
2022-11-28,2022-11-29,0.7970435330463416,26.9304269109995,82.51156255138766,1,Signal Exit
2022-12-07,2022-12-08,27.398182269859362,26.890565224248235,-1.5252465202934036,1,Signal Exit
2022-12-13,2022-12-14,19.524300804558088,18.705030051460163,-2.435593479359691,1,Signal Exit
2022-12-15,2022-12-19,18.962203180410494,18.676167772484717,-1.0048007398537315,4,Signal Exit
2022-12-20,2022-12-28,18.921234222565158,14.577544154905953,-17.417339366433414,8,Stop Loss
2022-12-28,2023-01-04,4.849399687621273,3.874364418307779,-3.2304435640671265,7,Signal Exit
2023-01-05,2023-01-20,4.083172412411759,6.362757144487008,9.981946360488923,15,Signal Exit
2023-01-23,2023-01-25,6.745893491929767,6.075757224915758,-4.907266679814193,2,Signal Exit
2023-01-27,2023-03-21,2.3188335042810357,22.007406092244842,135.641296309746,53,Signal Exit
