Feature,Group,Mean_Abs_SHAP
ema_50,EMA,0.024339550898706576
ema_20,EMA,0.021554576043892246
close_pct_1d,returns,0.01647683204486266
macd_hist,MACD,0.011448599403590446
atr_14,ATR,0.010935469221795552
close_pct_5d,returns,0.010608743003549477
macd,MACD,0.009172155832132272
volume_ratio,volume ratio,0.008078302935165376
rsi_14,RSI,0.007626735033471126
macd_signal,MACD,0.007338072162128498
close_pct_20d,returns,0.007162939599321447
vol_gate_flag,volatility gate,0.0
