Feature,Group,Importance
close_pct_1d,returns,0.1282302942456248
close_pct_5d,returns,0.10359775521318058
rsi_14,RSI,0.09459612251071026
volume_ratio,volume ratio,0.08975488197154574
macd_hist,MACD,0.08870555366367423
macd,MACD,0.0844398310987562
ema_20,EMA,0.08436517739176803
close_pct_20d,returns,0.08402660765501836
ema_50,EMA,0.08301992352098894
macd_signal,MACD,0.08091980304910863
atr_14,ATR,0.07834404967962426
vol_gate_flag,volatility gate,0.0
