Feature,Group,Importance
close_pct_1d,returns,0.1078009576739306
macd,MACD,0.09729922988827815
macd_signal,MACD,0.09718093321418049
volume_ratio,volume ratio,0.0928958351096653
atr_14,ATR,0.0896726969625641
rsi_14,RSI,0.08957229691159602
close_pct_5d,returns,0.08729529132749526
macd_hist,MACD,0.08399170054228931
close_pct_20d,returns,0.08323950267503417
ema_50,EMA,0.08271876320701088
ema_20,EMA,0.08193913323711036
vol_gate_flag,volatility gate,0.00639365925084543
