date,daily_return,equity
2008-01-02,-0.000542683988448971,999.457316011551
2008-01-03,-0.0004065470071528466,999.0509896309495
2008-01-04,-0.001944273759205779,997.1085610077015
2008-01-07,-0.00016498492416172796,996.9440531273826
2008-01-08,-0.008113925193925729,988.8549236577779
2008-01-09,-0.00019398301928125715,988.6631025940557
2008-01-10,0.00040873263153025564,989.0672014656758
2008-01-11,0.000276194856270054,989.340376739226
2008-01-14,-7.95752649901143e-05,989.2616497165816
2008-01-15,7.192678364761302e-05,989.3328041252316
2008-01-16,0.0006564318086825459,989.9822336472325
2008-01-17,-0.0002582126776397044,989.7266076838667
2008-01-18,0.00024457411859863694,989.9686691965946
2008-01-22,-0.0003774380321775088,989.5950173701757
2008-01-23,0.03377699825384318,1023.0205665439
2008-01-24,0.0,1023.0205665439
2008-01-25,0.0,1023.0205665439
2008-01-28,0.0,1023.0205665439
2008-01-29,0.0,1023.0205665439
2008-01-30,0.0,1023.0205665439
2008-01-31,0.0,1023.0205665439
2008-02-01,0.0,1023.0205665439
2008-02-04,0.0,1023.0205665439
2008-02-05,0.0,1023.0205665439
2008-02-06,0.0,1023.0205665439
2008-02-07,0.0,1023.0205665439
2008-02-08,0.0,1023.0205665439
2008-02-11,0.0,1023.0205665439
2008-02-12,0.0,1023.0205665439
2008-02-13,0.0,1023.0205665439
2008-02-14,0.0,1023.0205665439
2008-02-15,0.0,1023.0205665439
2008-02-19,0.0,1023.0205665439
2008-02-20,0.0,1023.0205665439
2008-02-21,0.0,1023.0205665439
2008-02-22,0.0,1023.0205665439
2008-02-25,0.0,1023.0205665439
2008-02-26,0.0,1023.0205665439
2008-02-27,0.0,1023.0205665439
2008-02-28,0.0,1023.0205665439
2008-02-29,0.0,1023.0205665439
2008-03-03,0.0,1023.0205665439
2008-03-04,0.0,1023.0205665439
2008-03-05,0.0,1023.0205665439
2008-03-06,0.0,1023.0205665439
2008-03-07,0.0,1023.0205665439
2008-03-10,0.0,1023.0205665439
2008-03-11,0.0,1023.0205665439
2008-03-12,0.0,1023.0205665439
2008-03-13,0.0,1023.0205665439
2008-03-14,0.0,1023.0205665439
2008-03-17,0.0,1023.0205665439
2008-03-18,0.0,1023.0205665439
2008-03-19,0.0,1023.0205665439
2008-03-20,0.0,1023.0205665439
2008-03-24,0.0,1023.0205665439
2008-03-25,0.0,1023.0205665439
2008-03-26,-0.0005146321851277165,1022.494087234309
2008-03-27,-0.00015717481368549336,1022.3333769166534
2008-03-28,-7.01311768622798e-05,1022.2616794737846
2008-03-31,-0.00035085929483397665,1021.9030094617887
2008-04-01,-0.0005196301129981241,1021.3719978855089
2008-04-02,-6.587725833041474e-05,1021.3047126985527
2008-04-03,0.10869109267364231,1132.3114378744988
2008-04-04,-0.0005375612892180682,1131.7027510781586
2008-04-07,-0.00019624427757497552,1131.4806608893437
2008-04-08,0.0008050772457080369,1132.3915902233844
2008-04-09,0.0,1132.3915902233844
2008-04-10,0.0,1132.3915902233844
2008-04-11,-0.0005523665473637812,1131.7660949904289
2008-04-14,0.0019141051766030663,1133.932414331554
2008-04-15,-0.0005589646657728788,1133.298586178568
2008-04-16,0.0010591318475893184,1134.4988988040177
2008-04-17,0.0,1134.4988988040177
2008-04-18,0.0,1134.4988988040177
2008-04-21,0.0,1134.4988988040177
2008-04-22,0.0,1134.4988988040177
2008-04-23,0.0,1134.4988988040177
2008-04-24,0.0,1134.4988988040177
2008-04-25,0.0,1134.4988988040177
2008-04-28,0.0,1134.4988988040177
2008-04-29,0.0,1134.4988988040177
2008-04-30,0.0,1134.4988988040177
2008-05-01,0.0,1134.4988988040177
2008-05-02,0.0,1134.4988988040177
2008-05-05,0.0,1134.4988988040177
2008-05-06,0.0,1134.4988988040177
2008-05-07,0.0,1134.4988988040177
2008-05-08,0.0,1134.4988988040177
2008-05-09,0.0,1134.4988988040177
2008-05-12,0.0,1134.4988988040177
2008-05-13,0.0,1134.4988988040177
2008-05-14,0.0,1134.4988988040177
2008-05-15,-0.0005097482890464847,1133.9205899314272
2008-05-16,-0.00041802111041336126,1133.4465871873035
2008-05-19,0.0,1133.4465871873035
2008-05-20,0.0,1133.4465871873035
2008-05-21,0.0,1133.4465871873035
2008-05-22,0.0,1133.4465871873035
2008-05-23,0.0,1133.4465871873035
2008-05-26,0.0,1133.4465871873035
2008-05-27,0.0,1133.4465871873035
2008-05-28,0.0,1133.4465871873035
2008-05-29,0.0,1133.4465871873035
2008-05-30,0.0,1133.4465871873035
2008-06-02,-0.0005349369543833874,1132.8402647219973
2008-06-03,0.0012734037019155745,1134.2828277087733
2008-06-04,0.0003420862270484155,1134.67085024171
2008-06-05,-0.0004033711087981294,1134.213156802727
2008-06-06,0.0,1134.213156802727
2008-06-09,0.0,1134.213156802727
2008-06-10,0.0,1134.213156802727
2008-06-11,0.0,1134.213156802727
2008-06-12,0.0,1134.213156802727
2008-06-13,0.0,1134.213156802727
2008-06-16,0.0,1134.213156802727
2008-06-17,0.0,1134.213156802727
2008-06-18,0.0,1134.213156802727
2008-06-19,0.0,1134.213156802727
2008-06-20,0.0,1134.213156802727
2008-06-23,0.0,1134.213156802727
2008-06-24,0.0,1134.213156802727
2008-06-25,0.0,1134.213156802727
2008-06-26,0.0,1134.213156802727
2008-06-27,0.0,1134.213156802727
2008-06-30,0.0,1134.213156802727
2008-07-01,0.0,1134.213156802727
2008-07-02,0.0,1134.213156802727
2008-07-03,0.0,1134.213156802727
2008-07-04,0.0,1134.213156802727
2008-07-07,0.0,1134.213156802727
2008-07-08,0.0,1134.213156802727
2008-07-09,0.0,1134.213156802727
2008-07-10,0.0,1134.213156802727
2008-07-11,0.0,1134.213156802727
2008-07-14,0.0,1134.213156802727
2008-07-15,0.0,1134.213156802727
2008-07-16,0.0,1134.213156802727
2008-07-17,0.0,1134.213156802727
2008-07-18,0.0,1134.213156802727
2008-07-21,0.0,1134.213156802727
2008-07-22,0.0,1134.213156802727
2008-07-23,0.0,1134.213156802727
2008-07-24,0.0,1134.213156802727
2008-07-25,0.0,1134.213156802727
2008-07-28,0.0,1134.213156802727
2008-07-29,0.0,1134.213156802727
2008-07-30,0.0,1134.213156802727
2008-07-31,0.0,1134.213156802727
2008-08-01,-0.000547468527297792,1133.5922107961305
2008-08-04,0.0001623459185789463,1133.7762448648862
2008-08-05,0.0,1133.7762448648862
2008-08-06,0.0,1133.7762448648862
2008-08-07,0.0,1133.7762448648862
2008-08-08,0.0,1133.7762448648862
2008-08-11,0.0,1133.7762448648862
2008-08-12,0.0,1133.7762448648862
2008-08-13,0.0,1133.7762448648862
2008-08-14,0.0,1133.7762448648862
2008-08-15,-0.0005606095947710744,1133.1406390236914
2008-08-18,0.00014165314025074677,1133.3011519535548
2008-08-19,0.0,1133.3011519535548
2008-08-20,0.0,1133.3011519535548
2008-08-21,0.0,1133.3011519535548
2008-08-22,0.0,1133.3011519535548
2008-08-25,0.0,1133.3011519535548
2008-08-26,0.0,1133.3011519535548
2008-08-27,0.0,1133.3011519535548
2008-08-28,0.0,1133.3011519535548
2008-08-29,0.0,1133.3011519535548
2008-09-02,0.0,1133.3011519535548
2008-09-03,-0.000578058774958713,1132.6460372779973
2008-09-04,-0.010130399237128024,1121.1718807260202
2008-09-05,0.0,1121.1718807260202
2008-09-08,0.0,1121.1718807260202
2008-09-09,0.0,1121.1718807260202
2008-09-10,0.0,1121.1718807260202
2008-09-11,0.0,1121.1718807260202
2008-09-12,0.0,1121.1718807260202
2008-09-15,0.0,1121.1718807260202
2008-09-16,0.0,1121.1718807260202
2008-09-17,0.0,1121.1718807260202
2008-09-18,0.0,1121.1718807260202
2008-09-19,0.0,1121.1718807260202
2008-09-22,0.0,1121.1718807260202
