timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl,btc_price
2022-01-03T00:00:00+00:00,1000.00,1000.00,0.00,0,No positions,0.00,0.00,
2022-01-04T00:00:00+00:00,904.55,998.94,-0.11,1,GOLD:long:0.2621@1818.1493,95.32,-0.93,
2022-01-05T00:00:00+00:00,904.55,1001.69,0.17,1,GOLD:long:0.2621@1818.1493,95.32,1.82,
2022-01-06T00:00:00+00:00,904.55,992.28,-0.77,1,GOLD:long:0.2621@1818.1493,95.32,-7.59,
2022-01-07T00:00:00+00:00,993.28,993.28,-0.67,0,No positions,0.00,0.00,
2022-01-10T00:00:00+00:00,993.28,993.28,-0.67,0,No positions,0.00,0.00,
2022-01-11T00:00:00+00:00,993.28,993.28,-0.67,0,No positions,0.00,0.00,
2022-01-12T00:00:00+00:00,903.17,992.39,-0.76,1,GOLD:long:0.2458@1830.3992,89.98,-0.76,
2022-01-13T00:00:00+00:00,903.17,990.94,-0.91,1,GOLD:long:0.2458@1830.3992,89.98,-2.21,
2022-01-14T00:00:00+00:00,988.78,988.78,-1.12,0,No positions,0.00,0.00,
2022-01-17T00:00:00+00:00,988.78,988.78,-1.12,0,No positions,0.00,0.00,
2022-01-18T00:00:00+00:00,988.78,988.78,-1.12,0,No positions,0.00,0.00,
2022-01-19T00:00:00+00:00,880.12,988.18,-1.18,1,GOLD:long:0.1764@1846.0538,108.57,-0.50,
2022-01-20T00:00:00+00:00,880.12,988.08,-1.19,1,GOLD:long:0.1764@1846.0538,108.57,-0.61,
2022-01-21T00:00:00+00:00,985.52,985.52,-1.45,0,No positions,0.00,0.00,
2022-01-24T00:00:00+00:00,985.52,985.52,-1.45,0,No positions,0.00,0.00,
2022-01-25T00:00:00+00:00,881.20,984.65,-1.53,1,GOLD:long:0.2808@1855.0794,104.18,-0.72,
2022-01-26T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-01-27T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-01-28T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-01-31T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-01T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-02T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-03T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-04T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-07T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-08T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-09T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-10T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-11T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-14T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-15T00:00:00+00:00,974.49,974.49,-2.55,0,No positions,0.00,0.00,
2022-02-16T00:00:00+00:00,790.51,973.57,-2.64,1,GOLD:long:0.2944@1873.1164,183.83,-0.77,
2022-02-17T00:00:00+00:00,911.48,980.58,-1.94,1,GOLD:long:0.1828@1903.6773,69.58,-0.49,
2022-02-18T00:00:00+00:00,979.51,979.51,-2.05,0,No positions,0.00,0.00,
2022-02-21T00:00:00+00:00,885.94,978.73,-2.13,1,GOLD:long:0.2446@1910.0457,93.44,-0.65,
2022-02-22T00:00:00+00:00,977.58,977.58,-2.24,0,No positions,0.00,0.00,
2022-02-23T00:00:00+00:00,977.58,977.58,-2.24,0,No positions,0.00,0.00,
2022-02-24T00:00:00+00:00,977.58,977.58,-2.24,0,No positions,0.00,0.00,
2022-02-28T00:00:00+00:00,977.58,977.58,-2.24,0,No positions,0.00,0.00,
2022-03-01T00:00:00+00:00,837.36,976.16,-2.38,1,GOLD:long:0.3596@1947.2001,140.03,-1.22,
2022-03-02T00:00:00+00:00,965.99,965.99,-3.40,0,No positions,0.00,0.00,
2022-03-03T00:00:00+00:00,965.99,965.99,-3.40,0,No positions,0.00,0.00,
2022-03-07T00:00:00+00:00,965.99,965.99,-3.40,0,No positions,0.00,0.00,
