entry_date,exit_date,entry,exit,pnl,hold_days,type
2022-01-03,2022-01-04,1802.336735218105,1812.3722951546165,2.0002767379241146,1,Signal Exit
2022-01-28,2022-01-31,1788.1817296114789,1793.6724753607696,0.8413387602833563,3,Signal Exit
2022-03-01,2022-03-02,1947.1266959751256,1918.9463337373832,-4.821155140291049,1,Signal Exit
2022-03-07,2022-03-09,1999.4848590223583,1983.8404123225584,-2.599562516048611,2,Signal Exit
2022-03-22,2022-03-23,1925.7126619582307,1933.1357946102144,0.6801211028539926,1,Signal Exit
2022-03-28,2022-03-30,1943.9479613309886,1931.9569367095046,-1.7550511108835387,2,Signal Exit
2022-04-04,2022-04-06,1934.6379457453759,1915.885807086895,-2.673587889162176,2,Signal Exit
2022-04-25,2022-04-26,1896.83640954063,1898.0932761408437,-0.0948725997330645,1,Signal Exit
2022-04-27,2022-04-28,1889.1461128692167,1887.9867323357273,-0.47852767210642566,1,Signal Exit
2022-05-02,2022-05-03,1867.0230592596815,1867.2024335445813,-0.25839275845601883,1,Signal Exit
2022-05-09,2022-05-11,1862.071731968861,1850.2868118227677,-2.0570777922327625,2,Signal Exit
2022-05-12,2022-05-24,1828.05614830743,1862.1320163565276,4.86684686898161,12,Signal Exit
2022-07-06,2022-07-07,1739.5244220118868,1736.782455988962,-0.7808848222135617,1,Signal Exit
2022-07-11,2022-07-13,1734.520774438821,1732.6226482134657,-0.6809433631277757,2,Signal Exit
2022-07-14,2022-07-21,1708.7705388017819,1710.5172532075778,0.006568894335014092,7,Signal Exit
2022-07-26,2022-07-28,1720.460023815915,1751.5055554342366,5.618640510461114,2,Signal Exit
2022-08-29,2022-09-01,1739.2776271312498,1688.6788129750933,-10.854904418063517,3,Stop Loss
2022-09-01,2022-09-06,1702.1205116827098,1700.8512905803411,-0.6274133191392364,5,Signal Exit
2022-09-07,2022-09-12,1720.786734461112,1728.195233551388,1.1606744553002588,5,Signal Exit
2022-09-13,2022-09-15,1709.7851331308539,1656.785682534916,-10.73968935114056,2,Stop Loss
2022-09-15,2022-09-26,1669.5117183118077,1615.670053897857,-10.736203400560735,11,Stop Loss
2022-09-26,2022-09-27,1626.5413970825884,1623.6189584233107,-0.7994538115499986,1,Signal Exit
2022-09-28,2022-10-03,1663.3366793212115,1694.1139548199758,4.891466285542714,5,Signal Exit
2022-10-12,2022-10-13,1675.3114596704427,1668.7381781631602,-1.4058247286169716,1,Signal Exit
2022-10-17,2022-10-20,1661.943771705637,1628.9126486781033,-5.8360635733091915,3,Signal Exit
2022-12-01,2022-12-05,1811.3697916000258,1771.0370963714047,-6.786160076156958,4,Signal Exit
2023-01-09,2023-01-10,1880.9202317520978,1873.4950733730518,-1.516285663152202,1,Signal Exit
2023-02-15,2023-02-16,1840.066037354235,1840.4127753139246,-0.24732383956433207,1,Signal Exit
2023-02-21,2023-02-22,1837.1068129227845,1830.435662285986,-1.4900623123953907,1,Signal Exit
2023-02-23,2023-02-27,1821.578530020156,1822.1970492669982,-0.22081812760405317,4,Signal Exit
2023-03-07,2023-03-09,1822.7012770626422,1831.9713980429258,1.4074305759403853,2,Signal Exit
2023-03-20,2023-03-21,1986.407878126279,1937.3819774541694,-7.1331926044259895,1,Signal Exit
2023-08-15,2023-08-21,1909.110163276425,1893.5815332112588,-4.085586354103319,6,Signal Exit
2023-10-05,2023-10-09,1825.276224068018,1853.4372333654117,6.551459324343664,4,Signal Exit
