Date,daily_return
2008-01-02,0.0
2008-01-03,0.0
2008-01-04,-2.6822539729778328e-05
2008-01-07,0.00022255455812989817
2008-01-08,0.0
2008-01-09,0.0
2008-01-10,0.0
2008-01-11,0.0
2008-01-14,0.0
2008-01-15,0.0
2008-01-16,-7.570471920247919e-05
2008-01-17,-0.00022334686651598868
2008-01-18,0.0012448325656708786
2008-01-22,0.0005616755012610401
2008-01-23,0.0
2008-01-24,-1.893867064792346e-05
2008-01-25,-0.0002504946218239805
2008-01-28,0.00014821113585016156
2008-01-29,-2.2831325020632877e-05
2008-01-30,-0.00010237975230528688
2008-01-31,0.0
2008-02-01,0.0
2008-02-04,-2.923369594515479e-05
2008-02-05,4.813423016854784e-05
2008-02-06,0.0
2008-02-07,0.0
2008-02-08,0.0
2008-02-11,0.0
2008-02-12,0.0
2008-02-13,0.0
2008-02-14,0.0
2008-02-15,0.0
2008-02-19,0.0
2008-02-20,0.0
2008-02-21,-4.1714442317367506e-06
2008-02-22,3.496621974744939e-05
2008-02-25,-4.8604761859920626e-06
2008-02-26,-9.252287429604713e-05
2008-02-27,0.00011496700604263066
2008-02-28,0.0
2008-02-29,0.0
2008-03-03,0.0
2008-03-04,-7.837881824797937e-06
2008-03-05,0.00016770105841161054
2008-03-06,0.04035895275133065
2008-03-07,-3.7830563535867746e-05
2008-03-10,2.5350120846765613e-06
2008-03-11,0.0
2008-03-12,0.0
2008-03-13,0.0
2008-03-14,0.0
2008-03-17,0.0
2008-03-18,0.0
2008-03-19,0.0
2008-03-20,-1.7897953531647997e-05
2008-03-24,-0.0005011364839167293
2008-03-25,0.00010308043324802918
2008-03-26,0.0
2008-03-27,-2.254245810583619e-05
2008-03-28,5.509044009488346e-05
2008-03-31,-2.5953583051397145e-05
2008-04-01,1.0519547400078128e-05
2008-04-02,0.0
2008-04-03,0.0
2008-04-04,0.0
2008-04-07,0.0
2008-04-08,0.0
2008-04-09,0.0
2008-04-10,0.0
2008-04-11,0.0
2008-04-14,0.0
2008-04-15,-8.326640241005387e-05
2008-04-16,0.0014980140599055065
2008-04-17,0.0
2008-04-18,-6.371983991587098e-06
2008-04-21,3.3326947719804875e-05
2008-04-22,0.00010848430374591258
2008-04-23,-0.0002029108114294425
2008-04-24,9.037880394713782e-05
2008-04-25,-4.776943047023603e-05
2008-04-28,0.0
2008-04-29,0.0
2008-04-30,-1.152678167904481e-05
2008-05-01,7.757467782517408e-05
2008-05-02,0.0
2008-05-05,0.0
2008-05-06,-3.632063215473173e-05
2008-05-07,-1.793458142777217e-05
2008-05-08,0.0
2008-05-09,0.0
2008-05-12,-4.5947753845614525e-05
2008-05-13,-0.00019165384808344623
2008-05-14,0.0004898178038088819
2008-05-15,-0.0001816549379083373
2008-05-16,-0.010125688210418511
2008-05-19,-2.1220491597470347e-06
2008-05-20,-6.622438117220227e-06
2008-05-21,0.0
2008-05-22,0.0
2008-05-23,0.0
2008-05-27,0.0
2008-05-28,0.0
2008-05-29,0.0
2008-05-30,-4.345932195080786e-06
2008-06-02,0.1306167276748863
2008-06-03,-0.0025223778383639144
2008-06-04,-0.0023908011718716472
2008-06-05,-0.006065574022388223
2008-06-06,0.002041676439588638
2008-06-09,0.0010509754386160734
2008-06-10,-6.5520671784583e-05
2008-06-11,-0.0009232474556140987
2008-06-12,0.0
2008-06-13,0.0
2008-06-16,-2.1520906195401123e-06
2008-06-17,1.592397278493769e-07
2008-06-18,-5.794410247524113e-05
2008-06-19,-1.7573724785631153e-05
2008-06-20,3.3694468048828014e-05
2008-06-23,-2.1589917293818665e-05
2008-06-24,-3.2154633072451614e-06
2008-06-25,1.5709954597340233e-05
2008-06-26,0.0
2008-06-27,-3.959924875347578e-06
2008-06-30,0.002932373340581895
2008-07-01,0.0
2008-07-02,0.0
2008-07-03,0.0
2008-07-07,-1.026937738410111e-05
2008-07-08,0.00019779922993712622
2008-07-09,2.0798130134584278e-05
2008-07-10,0.00037537283205298376
2008-07-11,-1.4239412555612826e-05
2008-07-14,0.0003305653591047475
2008-07-15,-5.208722518689054e-05
2008-07-16,0.0010962553947611313
2008-07-17,0.0
2008-07-18,0.0
2008-07-21,0.0
2008-07-22,0.0
2008-07-23,0.0
2008-07-24,0.0
2008-07-25,0.0
2008-07-28,0.0
2008-07-29,0.0
2008-07-30,0.0
2008-07-31,0.0
2008-08-01,0.0
2008-08-04,0.0
2008-08-05,0.0
2008-08-06,0.0
2008-08-07,0.0
2008-08-08,0.0
2008-08-11,0.0
2008-08-12,0.0
2008-08-13,0.0
2008-08-14,0.0
2008-08-15,0.0
2008-08-18,0.0
2008-08-19,0.0
2008-08-20,0.0
2008-08-21,0.0
2008-08-22,0.0
2008-08-25,0.0
2008-08-26,-3.1610417076515925e-06
2008-08-27,3.791970230321334e-05
2008-08-28,-2.006515950223715e-05
2008-08-29,0.0
2008-09-02,0.0
2008-09-03,0.0
2008-09-04,-5.280963001182288e-06
2008-09-05,8.341110704782622e-05
2008-09-08,-2.9570787594215804e-05
2008-09-09,-0.00013171027256141116
2008-09-10,-0.003969415569353439
2008-09-11,2.12266496896863e-05
2008-09-12,-2.0668312032449716e-05
2008-09-15,-1.7068447293757002e-05
2008-09-16,5.495760549082954e-06
2008-09-17,1.582813797356227e-05
2008-09-18,0.0
2008-09-19,0.0
2008-09-22,0.0
2008-09-23,-2.0046089493081154e-06
2008-09-24,0.0187023630263389
2008-09-25,-0.0003627153795143548
2008-09-26,-0.0006059220236817502
2008-09-29,0.0002327912105259616
2008-09-30,0.0003682770137085147
2008-10-01,0.000362790283743753
2008-10-02,-0.00022408026439654728
2008-10-03,0.000979718896873525
2008-10-06,-3.258434721694989e-05
2008-10-07,-0.0004244636179070629
2008-10-08,-0.009584629484127251
2008-10-09,1.3069927073164448e-05
2008-10-10,-2.649873683141112e-05
2008-10-13,1.2998843014871894e-05
2008-10-14,0.0
2008-10-15,-1.0153143083461022e-06
2008-10-16,-1.9895139333913502e-05
2008-10-17,1.9246392147635072e-05
2008-10-20,-2.087121501670647e-05
2008-10-21,0.0
2008-10-22,-3.7685000776703574e-05
2008-10-23,0.00047601733539668907
2008-10-24,9.905971271539162e-05
2008-10-27,0.0002277890229931071
2008-10-28,0.000372460889031019
2008-10-29,0.0005406694493435835
2008-10-30,-5.463788324943605e-05
2008-10-31,8.966763799428892e-06
2008-11-03,0.0
2008-11-04,0.0
2008-11-05,0.0
2008-11-06,0.0
2008-11-07,0.0
2008-11-10,0.0
2008-11-11,0.0
2008-11-12,0.0
2008-11-13,0.0
2008-11-14,0.0
2008-11-17,0.0
2008-11-18,0.0
2008-11-19,0.0
2008-11-20,0.0
2008-11-21,-5.693156304443749e-06
2008-11-24,-2.8650386792050945e-06
2008-11-25,-7.061907339719937e-05
2008-11-26,-0.00010745657531536448
2008-11-28,7.124734665526034e-05
2008-12-01,-7.522375315181231e-06
2008-12-02,-0.0001778187369325911
2008-12-03,-2.4065061457299367e-05
2008-12-04,0.0
2008-12-05,-1.4137942472296812e-05
2008-12-08,-1.3041689023818896e-05
2008-12-09,0.0
2008-12-10,0.0
2008-12-11,0.0
2008-12-12,0.0
2008-12-15,0.0
2008-12-16,0.0
2008-12-17,0.0
2008-12-18,0.0
2008-12-19,-5.063256809769442e-05
2008-12-22,8.743800235839816e-05
2008-12-23,0.0
2008-12-24,0.0
