system,scenario,mean_return,mdd,sharpe,sortino
RF,S0,0.0987,1.4688,1.3334,18.8159
RF,S1,0.1046,0.9217,1.4366,18.9644
RF,S2,0.1043,0.9374,1.4298,18.9362
XGBoost,S0,0.1471,3.8518,1.4294,13.0178
XGBoost,S1,0.1617,2.6438,1.6033,13.461
XGBoost,S2,0.1608,2.7138,1.5896,13.4843
