date,daily_return,equity
2022-01-03,-0.0007628243616870804,999.2371756383129
2022-01-04,0.0027652104695225065,1002.0002767379241
2022-01-05,0.0,1002.0002767379241
2022-01-06,0.0,1002.0002767379241
2022-01-07,0.0,1002.0002767379241
2022-01-10,0.0,1002.0002767379241
2022-01-11,0.0,1002.0002767379241
2022-01-12,0.0,1002.0002767379241
2022-01-13,0.0,1002.0002767379241
2022-01-14,0.0,1002.0002767379241
2022-01-17,0.0,1002.0002767379241
2022-01-18,0.0,1002.0002767379241
2022-01-19,0.0,1002.0002767379241
2022-01-20,0.0,1002.0002767379241
2022-01-21,0.0,1002.0002767379241
2022-01-24,0.0,1002.0002767379241
2022-01-25,0.0,1002.0002767379241
2022-01-26,-0.000762466695484294,1001.2362848980454
2022-01-27,-0.009535814510355194,991.6886814042205
2022-01-28,-0.0007435672132181772,990.9512942150087
2022-01-31,0.0023169857221074885,993.2473142150088
2022-02-01,0.0003706396619416086,993.6154510637739
2022-02-02,0.0,993.6154510637739
2022-02-03,-0.0007630675173401838,992.8572553883398
2022-02-04,0.00010868004623481125,992.96515916076
2022-02-07,0.0,992.96515916076
2022-02-08,0.0,992.96515916076
2022-02-09,0.0,992.96515916076
2022-02-10,0.0,992.96515916076
2022-02-11,0.0,992.96515916076
2022-02-14,-0.0007536651358621109,992.2167959391747
2022-02-15,-0.003760008064512838,988.4860527846984
2022-02-16,0.0,988.4860527846984
2022-02-17,0.0,988.4860527846984
2022-02-18,0.0,988.4860527846984
2022-02-21,0.0,988.4860527846984
2022-02-22,0.0,988.4860527846984
2022-02-23,0.0,988.4860527846984
2022-02-24,0.0,988.4860527846984
2022-02-28,-0.0006920532214114456,987.8019678275484
2022-03-01,0.007251676179339696,994.9651878275483
2022-03-02,-0.0035913819334745982,991.3918878275483
2022-03-03,0.0015666580665291102,992.9450599257049
2022-03-07,-0.0006773396234424976,992.2724988927157
2022-03-08,0.00700773225878922,999.2260788927156
2022-03-09,-0.008875104837487538,990.3578426861911
2022-03-10,0.0,990.3578426861911
2022-03-14,-0.000640234972861167,989.7237809596561
2022-03-15,-0.0037047609348587343,986.0570909596561
2022-03-16,-0.002451125824416202,983.6401409596562
2022-03-17,0.004075270856767946,987.6487409596562
2022-03-21,-0.002262965855480795,985.4137255816559
2022-03-22,-0.0006433855891889809,984.7797245912276
2022-03-23,0.0013271803223547727,986.086704863559
2022-03-24,0.0,986.086704863559
2022-03-28,-0.0006474642951925974,985.4482489301957
2022-03-29,-0.0034925426106710883,982.0065289301958
2022-03-30,0.002386167936402646,984.3497614228671
2022-03-31,0.0,984.3497614228671
2022-04-04,-0.0006508599981877981,983.7090875389313
2022-04-05,-0.000845778503562992,982.8770875389313
2022-04-06,-0.0011944864718239298,981.7030541544003
2022-04-07,0.0,981.7030541544003
2022-04-11,0.0,981.7030541544003
2022-04-12,0.0,981.7030541544003
2022-04-13,0.0,981.7030541544003
2022-04-18,0.0,981.7030541544003
2022-04-19,-0.0006740463286991097,981.0413408148748
2022-04-20,-0.0011617082144955557,979.9016570304905
2022-04-21,0.0,979.9016570304905
2022-04-25,-0.0006700455879585528,979.2450782485639
