Feature,Group,Importance
rsi_14,RSI,0.094512045
ema_50,EMA,0.09427422
close_pct_1d,returns,0.09344718
volume_ratio,volume ratio,0.09278229
close_pct_5d,returns,0.091795355
ema_20,EMA,0.08988
macd,MACD,0.089690916
macd_signal,MACD,0.08887748
close_pct_20d,returns,0.088485636
macd_hist,MACD,0.08843546
atr_14,ATR,0.08781942
vol_gate_flag,volatility gate,0.0
